Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
Amin.Company,20210825,5870.0,5900.0,5630.0,5820.0,20830370560,3580144,399,D,1000.0,5840.0
Amin.Company,20210828,5800.0,5940.0,5560.0,5730.0,44538126020,7770040,873,D,5820.0,5720.0
Amin.Company,20210829,5710.0,5710.0,5450.0,5530.0,32442135460,5871385,616,D,5730.0,5450.0
Amin.Company,20210830,5520.0,5520.0,5260.0,5300.0,22887003300,4318795,314,D,5530.0,5260.0
Amin.Company,20210831,5120.0,5240.0,5040.0,5060.0,18823285980,3720540,396,D,5300.0,5040.0
Amin.Company,20210908,4370.0,4370.0,4370.0,4370.0,29331693460,6712058,153,D,4170.0,4370.0
Amin.Company,20210911,4588.0,4588.0,4450.0,4578.0,113587337224,24813516,894,D,4370.0,4495.0
Amin.Company,20210912,4560.0,4560.0,4350.0,4444.0,9580665609,2193251,178,D,4578.0,4350.0
Amin.Company,20210913,4250.0,4429.0,4222.0,4227.0,30123814132,7127041,378,D,4444.0,4222.0
Amin.Company,20210914,4101.0,4353.0,4060.0,4174.0,11827127574,2841178,521,D,4227.0,4116.0
Amin.Company,20210915,4050.0,4119.0,3966.0,4018.0,11073453297,2781080,427,D,4174.0,3970.0
Amin.Company,20210918,3900.0,3950.0,3818.0,3919.0,7250603117,1896103,214,D,4018.0,3818.0
Amin.Company,20210919,3778.0,3850.0,3724.0,3853.0,5067315711,1356169,192,D,3919.0,3725.0
Amin.Company,20210920,3673.0,3910.0,3673.0,3834.0,4079688591,1076906,178,D,3853.0,3760.0
Amin.Company,20210921,3834.0,3900.0,3643.0,3706.0,12786482926,3459404,223,D,3834.0,3643.0
Amin.Company,20210922,3798.0,3891.0,3535.0,3872.0,14989787991,3871711,283,D,3706.0,3891.0
Amin.Company,20210925,4065.0,4065.0,3920.0,4047.0,31683593117,7829475,583,D,3872.0,4019.0
Amin.Company,20210926,4000.0,4000.0,3846.0,3927.0,11594949788,2979920,312,D,4047.0,3937.0
Amin.Company,20210928,3780.0,3946.0,3732.0,3842.0,9209219906,2428692,229,D,3927.0,3778.0
Amin.Company,20210929,3670.0,3874.0,3660.0,3778.0,9158570991,2447880,296,D,3842.0,3660.0
Amin.Company,20211002,3623.0,3780.0,3600.0,3699.0,11477969989,3120621,314,D,3778.0,3700.0
Amin.Company,20211003,3599.0,3870.0,3599.0,3726.0,7507906382,2000211,290,D,3699.0,3760.0
Amin.Company,20211004,3820.0,3820.0,3686.0,3726.0,4364349261,1170866,146,D,3726.0,3689.0
